LEMMA	STEM	TAG
see	see	VIRG
only	onl	AIRG
other	oth	NREG
know	know	VIRG
even	even	AREG
even	even	NREG
even	even	VREG
go	go	VIRG
people	peopl	NREG
say	say	VIRG
mme	mme	NREG
just	just	AREG
just	just	NREG
just	just	VREG
make	make	VIRG
come	come	VIRG
way	way	NREG
moment	mom	NREG
day	day	NREG
eye	eye	NREG
eye	eye	VREG
very	ver	AIRG
look	look	NREG
look	look	VREG
life	lif	NREG
still	still	AREG
still	still	NREG
still	still	VREG
man	man	NIRG
own	own	AREG
own	own	NREG
own	own	VREG
long	long	AREG
long	long	NREG
long	long	VREG
thought	thought	NREG
back	back	NREG
back	back	VREG
albertine	albertin	NREG
love	lov	NREG
feel	feel	VIRG
hand	hand	NREG
hand	hand	VREG
once	onc	NREG
felt	felt	NREG
felt	felt	VREG
think	think	VIRG
word	word	NREG
word	word	VREG
old	old	AREG
old	old	NREG
face	fac	NREG
certain	certain	AREG
good	good	AIRG
friend	friend	NREG
friend	friend	VREG
person	person	NREG
another	oth	NREG
another	oth	AREG
well	well	NREG
well	well	VREG
name	nam	NREG
take	take	VIRG
great	great	AREG
great	great	NREG
room	room	NREG
room	room	VREG
perhaps	perhaps	NREG
get	get	VIRG
place	plac	NREG
house	hous	NREG
find	find	VIRG
tell	tell	VIRG
mind	mind	NREG
mind	mind	VREG
woman	woman	NIRG
swann	swann	NREG
swann	swann	VREG
new	new	AREG
new	new	NREG
head	head	NREG
head	head	VREG
saw	saw	AREG
saw	saw	NREG
saw	saw	VREG
young	young	AREG
young	young	NREG
pleasure	pleas	NREG
give	give	VIRG
world	world	NREG
charlus	charlus	NREG
let	let	VIRG
last	last	NREG
last	last	VREG
away	way	NREG
work	work	NREG
work	work	VREG
longer	long	AREG
longer	long	NREG
far	far	AIRG
part	part	NREG
part	part	VREG
sort	sort	NREG
sort	sort	VREG
different	differ	AIRG
different	differ	NREG
found	found	NREG
found	found	VREG
men	men	NIRG
night	night	NREG
night	night	VREG
right	right	AREG
right	right	NREG
right	right	VREG
mr	mr	NREG
air	air	AREG
air	air	NREG
air	air	VREG
light	light	AREG
