LEMMA,cnt,STEM,TAG
see,3839,see,VIRG
only,3617,onl,AIRG
other,3421,oth,NREG
time,3319,tim,
know,2848,know,VIRG
even,2557,even,AREG NREG VREG
go,2360,go,VIRG
people,2342,peopl,NREG
say,2307,say,VIRG
mme,2194,mme,NREG
just,2192,just,AREG NREG VREG
make,2180,make,VIRG
come,2104,come,VIRG
way,2083,way,NREG
moment,2048,mom,NREG
same,2019,sam,
day,2004,day,NREG
eye,2001,eye,NREG VREG
very,1972,ver,AIRG
look,1943,look,NREG VREG
life,1938,lif,NREG
still,1915,still,AREG NREG VREG
man,1887,man,NIRG
own,1792,own,AREG NREG VREG
long,1788,long,AREG NREG VREG
thought,1784,thought,NREG
back,1781,back,NREG VREG
albertine,1780,albertin,NREG
love,1665,lov,NREG
feel,1647,feel,VIRG
hand,1625,hand,NREG VREG
again,1565,gain,
once,1560,onc,NREG
felt,1544,felt,NREG VREG
think,1543,think,VIRG
such,1529,such,
word,1516,word,NREG VREG
old,1459,old,AREG NREG
face,1439,fac,NREG
certain,1434,certain,AREG
good,1427,good,AIRG
friend,1424,friend,NREG VREG
person,1419,person,NREG
another,1400,oth,NREG AREG
well,1397,well,NREG VREG
name,1381,nam,NREG
take,1356,take,VIRG
great,1352,great,AREG NREG
room,1349,room,NREG VREG
perhaps,1322,perhaps,NREG
get,1316,get,VIRG
place,1310,plac,NREG
house,1309,hous,NREG
guermantes,1273,guermantes,
find,1243,find,VIRG
also,1243,als,
tell,1230,tell,VIRG
mind,1205,mind,NREG VREG
quite,1166,quit,
woman,1160,woman,NIRG
swann,1141,swann,NREG VREG
new,1136,new,AREG NREG
head,1131,head,NREG VREG
saw,1064,saw,AREG NREG VREG
young,1061,young,AREG NREG
pleasure,1057,pleas,NREG
ever,1051,ever,
give,1043,give,VIRG
world,1031,world,NREG
charlus,1029,charlus,NREG
let,1025,let,VIRG
last,1024,last,NREG VREG
away,1006,way,NREG
work,1006,work,NREG VREG
longer,998,long,AREG NREG
far,991,far,AIRG
part,979,part,NREG VREG
sort,977,sort,NREG VREG
different,975,differ,AIRG NREG
almost,956,almost,
found,939,found,NREG VREG
men,937,men,NIRG
night,920,night,NREG VREG
right,904,right,AREG NREG VREG
mr,875,mr,NREG
air,854,air,AREG NREG VREG
light,845,light,AREG NREG VREG
order,845,ord,NREG VREG
keep,841,keep,VIRG
side,834,sid,AREG NREG
home,826,hom,NREG
able,824,abl,AREG NREG
whole,823,whol,NREG
reason,822,reason,NREG VREG
put,817,put,VIRG
kind,815,kind,AREG NREG
heart,813,heart,NREG VREG
fact,808,fact,NREG
course,807,cours,NREG
door,805,door,NREG VREG
idea,784,ide,NREG
often,778,oft,AREG NREG
want,773,want,NREG VREG
form,769,form,NREG VREG
father,765,fath,NREG VREG
really,757,real,ADV
verdurin,757,verdurin,NREG
