LEMMA	cnt
the	97060
of	59648
to	56604
and	42593
a	40607
in	33748
that	30197
i	24479
it	18941
he	18454
her	16179
which	15568
with	14925
for	14788
as	14373
his	14171
be	14057
not	13835
she	12992
at	11649
is	11473
on	10285
you	10119
my	9868
me	9598
but	9520
by	9405
have	9300
from	8566
him	7385
would	7216
so	7178
one	6991
they	6863
an	6835
all	6562
or	6525
who	6443
when	6136
we	6118
say	6082
”	5922
what	5602
“	5578
them	5568
no	5463
know	5102
their	4939
are	4937
if	4843
—	4763
there	4693
like	4587
more	4394
out	4018
time	3923
de	3872
see	3712
only	3617
could	3535
other	3421
our	3142
up	3134
has	3113
than	3055
some	3014
go	2999
now	2978
then	2940
us	2937
day	2936
any	2878
its	2871
about	2846
those	2837
do	2804
will	2699
even	2557
never	2538
into	2486
people	2342
m	2333
your	2329
little	2322
whom	2276
think	2250
might	2249
without	2239
because	2235
after	2220
mme	2194
just	2192
can	2192
make	2180
should	2168
upon	2127
life	2120
come	2097
way	2083
same	2019
before	1995
first	1992
very	1972
these	1937
still	1915
over	1906
man	1887
down	1877
look	1828
himself	1822
own	1792
long	1788
thought	1784
back	1781
albertine	1780
moment	1776
how	1768
myself	1764
too	1694
must	1665
love	1665
feel	1647
face	1640
most	1617
two	1592
again	1565
once	1560
felt	1544
where	1541
such	1529
though	1488
old	1459
nothing	1459
certain	1434
good	1427
friend	1424
person	1419
much	1409
another	1400
well	1396
name	1381
take	1356
great	1352
room	1349
while	1327
perhaps	1322
every	1321
through	1311
place	1310
house	1309
guermantes	1273
find	1243
also	1243
tell	1230
since	1209
mind	1205
may	1196
get	1189
off	1172
quite	1166
woman	1160
swann	1142
new	1136
head	1131
something	1128
keep	1108
hand	1104
here	1087
herself	1077
saw	1064
young	1061
pleasure	1057
ever	1051
give	1043
whose	1041
less	1033
world	1031
am	1031
charlus	1029
let	1025
last	1024
between	1019
read	1016
away	1006
work	1006
longer	998
far	991
part	979
sort	977
why	975
different	975
almost	956
right	956
many	955
found	939
men	937
night	920
yet	918
few	904
whether	901
against	883
mr	875
put	870
yes	858
air	855
each	846
memory	846
light	845
order	845
point	843
side	834
hour	829
home	826
able	824
whole	823
anything	817
kind	815
heart	813
fact	808
course	807
door	805
call	797
reason	791
idea	784
often	778
past	778
itself	776
want	773
form	769
under	765
father	765
verdurin	757
really	757
already	756
matter	756
bloom	748
desire	747
end	736
voice	727
mother	721
case	719
open	713
everything	709
turn	708
else	697
alone	691
become	681
speak	675
